Disparate Impact,WHITE,BLACK,UNKNOWN,ASIAN/PACIFIC ISLANDER,AMERICAN INDIAN/ALEUTIAN
0.6772967101179391,0.6808295789964269,0.6808295789964269,0.6808295789964269,0.6808295789964269,0.6808295789964269
0.7150405072208523,0.6778002174926208,0.6778002174926208,0.6778002174926208,0.6778002174926208,0.6778002174926208
0.7332548095798977,0.6746155041168246,0.6746155041168246,0.6746155041168246,0.6746155041168246,0.6746155041168246
0.7395264116575592,0.6718191704210036,0.6718191704210036,0.6718191704210036,0.6718191704210036,0.6718191704210036
0.7437674233373157,0.6699549479571228,0.6699549479571228,0.6699549479571228,0.6699549479571228,0.6699549479571228
0.8272803547884454,0.6654497436694112,0.6654497436694112,0.6654497436694112,0.6654497436694112,0.6654497436694112
0.8160475960765396,0.6631194655895604,0.6631194655895604,0.6631194655895604,0.6631194655895604,0.6631194655895604
0.8219954648526077,0.6621096784216249,0.6621096784216249,0.6621096784216249,0.6621096784216249,0.6621096784216249
0.8259082956995809,0.6560509554140127,0.6560509554140127,0.6560509554140127,0.6560509554140127,0.6560509554140127
0.8975681650700075,0.6552741960540625,0.6552741960540625,0.6552741960540625,0.6552741960540625,0.6552741960540625
0.9270540265035678,0.6551188441820724,0.6551188441820724,0.6551188441820724,0.6551188441820724,0.6551188441820724
