Repair Level,WHITE,BLACK,UNKNOWN,ASIAN/PACIFIC ISLANDER,AMERICAN INDIAN/ALEUTIAN
0.0,1.0,0.7338319099837971,1.164112063251586,1.118889664804469,0.6772967101179391
0.1,1.0,0.7565690042025591,1.1434588450218206,1.1287425149700596,0.7150405072208523
0.2,1.0,0.7779494303902268,1.147095286578427,1.219434628975265,0.7332548095798977
0.3,1.0,0.7997346274318995,1.0839484397839978,1.1859408410548824,0.7395264116575592
0.4,1.0,0.8155106927024259,1.111129336006318,1.1485663082437274,0.7437674233373157
0.5,1.0,0.8379076218754691,1.093692672432182,1.240920532182668,0.8272803547884454
0.6,1.0,0.8593260240414312,1.1004194363364321,1.0701881331403762,0.8160475960765396
0.7,1.0,0.8865236704415799,1.0977819093739187,1.1678206997084546,0.8219954648526077
0.8,1.0,0.9117776539483246,1.0708810952714904,1.173379714390333,0.8259082956995809
0.9,1.0,0.9262312338477994,1.0560371207673958,1.0899042004421517,0.8975681650700075
1.0,1.0,0.9435726201482962,1.0732389986005286,1.1307339449541285,0.9270540265035678
