Repair Level,race,sex,yearofbirth,height,weight,haircolor,eyecolor,zipcode,registrationdate,crime,convictiondate,convictionstate,incarcerated,absconder
0.0,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239,0.7331871345029239
0.1,0.7228070175438597,0.7239766081871345,0.7502923976608187,0.6833333333333333,0.7073099415204679,0.7105263157894737,0.7166666666666667,0.6859649122807018,0.7369883040935673,0.7135964912280702,0.7333333333333333,0.7248538011695906,0.7206140350877193,0.7264619883040936
0.2,0.7298245614035088,0.7223684210526315,0.754093567251462,0.6866959064327486,0.7055555555555556,0.718421052631579,0.7128654970760234,0.6842105263157895,0.7369883040935673,0.7217836257309942,0.7333333333333333,0.7260233918128655,0.723391812865497,0.7330409356725146
0.3,0.7460526315789474,0.7222222222222222,0.7616959064327485,0.6821637426900585,0.7042397660818713,0.7039473684210527,0.7108187134502923,0.6622807017543859,0.7369883040935673,0.7235380116959065,0.7333333333333333,0.7230994152046784,0.7230994152046784,0.7396198830409356
0.4,0.7524853801169591,0.7150584795321637,0.7690058479532164,0.6684210526315789,0.7016081871345029,0.7021929824561404,0.7111111111111111,0.6470760233918129,0.7369883040935673,0.7285087719298246,0.7333333333333333,0.7219298245614035,0.7289473684210527,0.7514619883040936
0.5,0.7567251461988304,0.7190058479532164,0.7716374269005848,0.6570175438596492,0.6969298245614035,0.6991228070175438,0.7225146198830409,0.6298245614035087,0.7369883040935673,0.7213450292397661,0.7333333333333333,0.7160818713450292,0.7280701754385965,0.7554093567251462
0.6,0.7590643274853801,0.7119883040935673,0.7710526315789473,0.6495614035087719,0.7074561403508772,0.6922514619883041,0.7103801169590643,0.5925438596491228,0.7369883040935673,0.7280701754385965,0.7334795321637427,0.7223684210526315,0.7254385964912281,0.754093567251462
0.7,0.7675438596491229,0.7042397660818713,0.7805555555555556,0.6536549707602339,0.697953216374269,0.6877192982456141,0.7080409356725146,0.5603801169590643,0.7364035087719298,0.7149122807017544,0.7331871345029239,0.7194444444444444,0.7330409356725146,0.7660818713450293
0.8,0.7668128654970761,0.6922514619883041,0.7802631578947369,0.626608187134503,0.6890350877192982,0.6649122807017543,0.7062865497076023,0.5106725146198831,0.7369883040935673,0.7185672514619883,0.7333333333333333,0.7133040935672514,0.7396198830409356,0.7755847953216374
0.9,0.7925438596491228,0.6795321637426901,0.787719298245614,0.6252923976608187,0.6900584795321637,0.643859649122807,0.7017543859649122,0.4766081871345029,0.7368421052631579,0.710672514619883,0.7333333333333333,0.7140350877192982,0.7374269005847953,0.7840643274853801
1.0,0.8203216374269006,0.6675438596491228,0.7960526315789473,0.6011695906432749,0.6826023391812865,0.5834795321637427,0.6948830409356725,0.4213450292397661,0.7286549707602339,0.7014619883040936,0.7217836257309942,0.7138888888888889,0.748391812865497,0.8001461988304094
