Repair Level,White,Black,American Indian or Alaskan Native,Asian or Pacific Islander,Unknown
0.0,1.0,0.9951488182126549,1.3618052965311451,1.3618052965311451,1.3618052965311451
0.1,1.0,0.9806237610019469,1.3674157303370789,1.2154806491885146,1.025561797752809
0.2,1.0,0.9924352294455633,1.3592702903946392,1.3592702903946392,1.3592702903946392
0.3,1.0,0.9761823410413779,1.1858173944424397,1.0979790689281848,1.3175748827138218
0.4,1.0,0.9752478944764822,1.3062611806797855,1.1611210494931428,1.3062611806797855
0.5,1.0,0.9697504368608248,1.1660397444996453,1.1516441920984153,0.9716997870830377
0.6,1.0,0.995511826138034,0.9120985010706639,0.8686652391149181,1.302997858672377
0.7,1.0,0.97690542639377,1.023764458464774,1.2797055730809674,1.2797055730809674
0.8,1.0,0.9812904755823924,1.1469109947643978,1.2035485747527632,1.27434554973822
0.9,1.0,0.9907053941551558,0.9921195652173914,1.1712522644927539,0.9301120923913044
1.0,1.0,1.0115834417547782,0.8448595041322315,0.9387327823691461,0.6034710743801653
