Repair Level,White,Black,Hispanic,American Indian or Alaskan Native,Asian or Pacific Islander,Other
0.0,1.0,1.0084566539502522,1.0115671125545225,1.0320695563973903,1.0258087179033166,0.9732676102429844
0.1,1.0,1.0211968880154716,1.0309896994621257,1.0389035095363413,1.0318688998431709,0.981113791468217
0.2,1.0,1.0067345572946684,1.0000418556997452,1.0331846978417127,1.0385989855106599,0.9729293177124863
0.3,1.0,1.006197294207226,1.012975980399306,1.0143132781360131,1.0338222761149212,0.9431836801572995
0.4,1.0,1.0035105752995053,0.959599906228022,1.018503780723774,1.0218403232393496,0.8775547706066111
0.5,1.0,1.009083298313712,1.002830400435053,1.0316317118213556,1.0239170686006256,0.9756422610870766
0.6,1.0,1.0083957585330285,0.9920413038900305,1.007152244044107,1.0120341073172954,0.939259198825161
0.7,1.0,1.0004557905349862,1.0257192857620157,1.0121798524543613,1.0067976424639806,1.0278392143335429
0.8,1.0,1.0027059781273953,1.0094611435485101,1.0122651166892236,1.0171110924281137,0.9085806425276562
0.9,1.0,0.9990083584986583,0.9911592042745758,0.999434075470484,1.0063782356338458,0.9279970981198233
1.0,1.0,0.9982157739667337,0.9577924406512228,0.9990918035268297,0.9671739191583922,1.0204472199838839
