Split,True_Race,American Indian or Alaskan Native,American Indian or Alaskan Native-percent,Hispanic,Hispanic-percent,Other,Other-percent,Black,Black-percent,Asian or Pacific Islander,Asian or Pacific Islander-percent,White,White-percent,Accuracy
1,Asian or Pacific Islander,0,0.0,1,0.04,0,0.0,0,0.0,3,0.14,2,0.09,0.591063623118
1,Asian or Pacific Islander,0,0.0,1,0.04,0,0.0,0,0.0,3,0.14,2,0.09,0.591063623118
1,Asian or Pacific Islander,0,0.0,1,0.04,0,0.0,0,0.0,3,0.14,2,0.09,0.591063623118
1,Asian or Pacific Islander,0,0.0,1,0.04,0,0.0,0,0.0,3,0.14,2,0.09,0.591063623118
1,Asian or Pacific Islander,0,0.0,1,0.04,0,0.0,0,0.0,3,0.14,2,0.09,0.591063623118
1,Asian or Pacific Islander,0,0.0,1,0.04,0,0.0,0,0.0,3,0.14,2,0.09,0.591063623118
1,White,86,4.17,72,3.49,9,0.43,161,7.81,47,2.28,709,34.43,0.591063623118
1,White,86,4.17,72,3.49,9,0.43,161,7.81,47,2.28,709,34.43,0.591063623118
1,White,86,4.17,72,3.49,9,0.43,161,7.81,47,2.28,709,34.43,0.591063623118
1,White,86,4.17,72,3.49,9,0.43,161,7.81,47,2.28,709,34.43,0.591063623118
1,White,86,4.17,72,3.49,9,0.43,161,7.81,47,2.28,709,34.43,0.591063623118
1,White,86,4.17,72,3.49,9,0.43,161,7.81,47,2.28,709,34.43,0.591063623118
1,American Indian or Alaskan Native,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.09,0.591063623118
1,American Indian or Alaskan Native,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.09,0.591063623118
1,American Indian or Alaskan Native,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.09,0.591063623118
1,American Indian or Alaskan Native,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.09,0.591063623118
1,American Indian or Alaskan Native,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.09,0.591063623118
1,American Indian or Alaskan Native,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.09,0.591063623118
1,Black,110,5.34,7,0.33,4,0.19,505,24.52,87,4.22,253,12.28,0.591063623118
1,Black,110,5.34,7,0.33,4,0.19,505,24.52,87,4.22,253,12.28,0.591063623118
1,Black,110,5.34,7,0.33,4,0.19,505,24.52,87,4.22,253,12.28,0.591063623118
1,Black,110,5.34,7,0.33,4,0.19,505,24.52,87,4.22,253,12.28,0.591063623118
1,Black,110,5.34,7,0.33,4,0.19,505,24.52,87,4.22,253,12.28,0.591063623118
1,Black,110,5.34,7,0.33,4,0.19,505,24.52,87,4.22,253,12.28,0.591063623118
1,Unknown,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0.591063623118
1,Unknown,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0.591063623118
1,Unknown,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0.591063623118
1,Unknown,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0.591063623118
1,Unknown,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0.591063623118
1,Unknown,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0.591063623118
0,Unknown,1,0.0,2,0.01,0,0.0,6,0.03,4,0.02,3,0.01,0.601752782408
0,Unknown,1,0.0,2,0.01,0,0.0,6,0.03,4,0.02,3,0.01,0.601752782408
0,Unknown,1,0.0,2,0.01,0,0.0,6,0.03,4,0.02,3,0.01,0.601752782408
0,Unknown,1,0.0,2,0.01,0,0.0,6,0.03,4,0.02,3,0.01,0.601752782408
0,Unknown,1,0.0,2,0.01,0,0.0,6,0.03,4,0.02,3,0.01,0.601752782408
0,Unknown,1,0.0,2,0.01,0,0.0,6,0.03,4,0.02,3,0.01,0.601752782408
0,White,838,4.5,401,2.15,45,0.24,1808,9.72,506,2.72,6497,34.93,0.601752782408
0,White,838,4.5,401,2.15,45,0.24,1808,9.72,506,2.72,6497,34.93,0.601752782408
0,White,838,4.5,401,2.15,45,0.24,1808,9.72,506,2.72,6497,34.93,0.601752782408
0,White,838,4.5,401,2.15,45,0.24,1808,9.72,506,2.72,6497,34.93,0.601752782408
0,White,838,4.5,401,2.15,45,0.24,1808,9.72,506,2.72,6497,34.93,0.601752782408
0,White,838,4.5,401,2.15,45,0.24,1808,9.72,506,2.72,6497,34.93,0.601752782408
0,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,8,0.04,0.601752782408
0,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,8,0.04,0.601752782408
0,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,8,0.04,0.601752782408
0,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,8,0.04,0.601752782408
0,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,8,0.04,0.601752782408
0,American Indian or Alaskan Native,0,0.0,1,0.0,0,0.0,9,0.04,3,0.01,8,0.04,0.601752782408
0,Black,1050,5.64,58,0.31,47,0.25,4678,25.15,798,4.29,1790,9.62,0.601752782408
0,Black,1050,5.64,58,0.31,47,0.25,4678,25.15,798,4.29,1790,9.62,0.601752782408
0,Black,1050,5.64,58,0.31,47,0.25,4678,25.15,798,4.29,1790,9.62,0.601752782408
0,Black,1050,5.64,58,0.31,47,0.25,4678,25.15,798,4.29,1790,9.62,0.601752782408
0,Black,1050,5.64,58,0.31,47,0.25,4678,25.15,798,4.29,1790,9.62,0.601752782408
0,Black,1050,5.64,58,0.31,47,0.25,4678,25.15,798,4.29,1790,9.62,0.601752782408
0,Asian or Pacific Islander,4,0.02,2,0.01,1,0.0,2,0.01,17,0.09,20,0.1,0.601752782408
0,Asian or Pacific Islander,4,0.02,2,0.01,1,0.0,2,0.01,17,0.09,20,0.1,0.601752782408
0,Asian or Pacific Islander,4,0.02,2,0.01,1,0.0,2,0.01,17,0.09,20,0.1,0.601752782408
0,Asian or Pacific Islander,4,0.02,2,0.01,1,0.0,2,0.01,17,0.09,20,0.1,0.601752782408
0,Asian or Pacific Islander,4,0.02,2,0.01,1,0.0,2,0.01,17,0.09,20,0.1,0.601752782408
0,Asian or Pacific Islander,4,0.02,2,0.01,1,0.0,2,0.01,17,0.09,20,0.1,0.601752782408
