Oral,Written,Combine,Class
88.75,86,79.676,1
70.83,86,79.676,1
80.42,82,78.400,1
88.75,72,72.732,1
70.48,75,72.732,1
82.38,82,79.676,1
69.17,74,72.232,1
70.95,86,78.400,1
69.17,73,72.232,1
80.42,68,71.828,1
82.38,67,70.380,1
70.83,70,70.380,1
88.75,74,76.020,1
68.57,72,68.200,1
70.48,70,68.200,1
82.38,73,76.020,1
65.83,71,66.300,1
60.83,71,66.300,1
68.57,82,71.828,1
70.95,64,65.000,1
54.76,73,63.268,1
70.95,73,70.380,1
56.25,71,62.428,0
70.83,64,62.428,0
60.83,66,60.800,0
60.83,67,60.800,0
55.83,72,60.800,0
69.17,75,71.828,0
54.76,71,59.456,0
51.67,82,68.200,0
70.83,65,65.856,0
52.92,67,57.344,0
68.57,65,62.428,0
45.42,67,57.268,0
68.57,66,62.768,0
65.83,59,59.456,0
70.48,64,60.700,0
51.67,67,57.344,0
51.67,59,54.132,0
60.00,65,57.344,0
54.76,64,57.268,0
88.75,82,79.676,1
82.38,82,78.400,1
70.83,82,78.400,1
80.42,74,76.020,1
70.95,82,76.020,1
68.57,82,76.020,1
70.95,75,74.332,1
65.83,82,74.332,1
56.25,86,74.332,1
60.00,82,72.732,1
60.00,75,72.232,1
68.57,73,71.828,1
55.83,82,71.828,1
80.42,82,79.676,1
61.25,86,78.400,1
80.42,74,76.020,1
69.17,72,70.380,1
56.25,74,68.200,1
82.38,65,66.300,1
65.83,82,74.332,1
70.83,68,65.856,1
70.83,75,72.732,1
60.00,72,65.856,1
88.75,68,72.232,1
65.83,68,65.856,1
66.25,68,65.000,1
60.83,82,74.332,1
70.83,72,72.732,1
58.75,70,63.268,1
55.00,73,63.268,1
60.00,82,72.232,1
70.48,65,62.768,1
66.25,66,62.768,1
61.25,67,62.768,1
58.75,68,62.428,0
80.42,68,70.380,0
66.25,65,60.700,0
55.00,72,60.700,0
50.42,73,60.700,0
70.48,72,68.200,0
51.67,73,59.456,0
70.83,72,68.200,0
58.75,67,59.456,0
70.83,59,59.300,0
61.25,73,66.300,0
52.92,68,59.300,0
66.25,72,66.300,0
50.42,71,59.300,0
66.25,70,65.000,0
69.17,68,65.856,0
58.75,71,63.268,0
61.25,58,57.344,0
55.83,71,62.768,0
54.76,65,57.344,0
58.75,71,65.000,0
56.25,71,63.268,0
50.42,73,60.800,0
56.25,67,60.700,0
55.00,70,62.428,0
50.42,72,62.428,0
50.42,66,57.268,0
55.83,59,57.268,0
54.76,68,59.300,0
60.83,68,60.800,0
55.00,58,54.732,0
51.67,64,54.732,0
45.42,65,54.732,0
52.92,66,57.268,0
45.42,65,54.132,0
55.83,67,59.456,0
52.92,58,54.132,0
58.75,65,59.300,0
45.42,64,54.732,0
51.67,67,57.268,0
55.00,58,54.132,0
52.92,59,54.732,0
45.42,58,54.132,0
